Area,RMSE,Model Equation,2024,2025,2026,2027
Afghanistan,7.1375,y(t) = - 0.354·y(t-1) + 0.176·ε(t-1) + ε(t),115.05063429244782,115.40465893244732,115.27924593820545,115.32367340835198
Albania,3.5335,y(t) =  0.940·y(t-1) - 0.773·ε(t-1) + ε(t),98.76026837830425,98.2248259700068,97.72160908387009,97.24867823160845
Algeria,4.8816,y(t) = - 0.986·y(t-1) - 0.234·y(t-2) - 0.032·ε(t-1) - 0.766·ε(t-2) + ε(t),117.65922599248591,121.29377647464251,123.19570771073282,126.19856331104131
Angola,4.8414,y(t) = - 0.630·y(t-1) - 0.782·ε(t-1) + ε(t),133.27886792937278,138.9581314496786,142.42547878336012,147.2865645405081
Antigua and Barbuda,16.8986,y(t) = 120.202 + 0.808·y(t-1) + 0.025·ε(t-1) + ε(t),89.09576696915484,95.08228154619371,99.9166549239621,103.82062369492529
Argentina,6.2859,y(t) = - 0.301·y(t-1) - 0.057·ε(t-1) + ε(t),97.5254685489519,95.45472858809855,96.07838993640456,95.89055685029818
Armenia,10.3619,y(t) =  0.490·y(t-1) - 0.297·ε(t-1) + ε(t),80.73886928676767,80.55204400984616,80.46046470939885,80.41557373742432
Australia,7.1963,y(t) = - 0.715·y(t-1) + 0.506·ε(t-1) + ε(t),121.79634056053081,124.10698162269559,122.45589182239232,123.63569320881426
Austria,10.4366,y(t) = - 0.202·y(t-1) - 0.365·ε(t-1) + ε(t),98.77305510375201,98.24659800667843,98.35307177077956,98.33153789365096
Azerbaijan,7.7764,y(t) =  1.000·y(t-1) - 0.998·ε(t-1) + ε(t),133.00695372440015,136.04390003295467,139.0808389256817,142.1177704025993
Bahamas,5.6401,y(t) = - 0.795·y(t-1) + 1.000·ε(t-1) + ε(t),97.99902553909206,98.54807411354963,98.11179990347566,98.45846355989933
Bahrain,6.9926,y(t) =  0.749·y(t-1) - 0.515·ε(t-1) + ε(t),126.19897790094589,125.80872347986802,125.51641627553386,125.2974732038073
Bangladesh,4.0663,y(t) = - 0.396·y(t-1) - 0.195·y(t-2) - 0.714·ε(t-1) - 0.079·ε(t-2) + ε(t),134.26388439746137,137.9935251364571,141.77685005347507,145.54559457120936
Barbados,20.9731,y(t) =  0.450·y(t-1) - 0.781·ε(t-1) + ε(t),98.4228832512791,98.67195007505255,98.78415148929521,98.83469678941717
Belarus,15.4648,y(t) = - 1.000·y(t-1) + 0.997·ε(t-1) + ε(t),105.52117455741516,103.79004065908408,105.52113389928601,103.79008131625832
Belgium,2.9666,y(t) = 97.363 + 0.800·y(t-1) - 0.380·ε(t-1) + ε(t),98.4166853185436,98.20638898316153,98.03805433278117,97.9033085015369
Belize,5.1104,y(t) =  0.357·y(t-1) - 0.768·y(t-2) - 0.667·ε(t-1) + 0.868·ε(t-2) + ε(t),93.7877638660327,96.52367777067803,93.81623258755448,90.74844147381577
Benin,3.7504,y(t) =  0.664·y(t-1) - 0.007·y(t-2) - 1.962·ε(t-1) + 0.999·ε(t-2) + ε(t),136.4016133746913,139.41252623436176,142.95107530951248,146.83468367829866
Bhutan,9.3102,y(t) = - 0.359·y(t-1) + 0.563·ε(t-1) + ε(t),77.3408265352807,76.8386043391566,77.01866027608185,76.9541068957808
Bolivia (Plurinational State of),2.7230,y(t) = - 0.005·y(t-1) + 0.343·y(t-2) + 0.339·y(t-3) - 1.228·ε(t-1) - 0.263·ε(t-2) + 0.545·ε(t-3) + ε(t),126.61081071489389,128.09836409476983,132.6276884171548,135.5274487170543
Bosnia and Herzegovina,14.2576,y(t) = - 0.518·y(t-1) - 0.078·ε(t-1) + ε(t),110.30107363239357,108.42121571920957,109.39444461278919,108.89059032004963
Botswana,8.1945,y(t) = - 0.381·y(t-1) + 0.085·ε(t-1) + ε(t),124.73536263998169,123.08067974170358,123.71077111052557,123.47083684065602
Brazil,2.6486,y(t) = - 0.823·y(t-1) + 0.078·y(t-2) - 0.098·y(t-3) - 0.759·ε(t-1) - 0.751·ε(t-2) + 0.997·ε(t-3) + ε(t),123.28438086551357,125.95916266186862,129.68103593388875,134.2214165791357
Brunei Darussalam,6.0050,y(t) = - 0.489·y(t-1) + 0.444·ε(t-1) + ε(t),114.79484820688675,114.73385619131358,114.7636525821184,114.74909617015774
Bulgaria,11.5259,y(t) = 112.937 + 0.137·y(t-1) + 0.852·y(t-2) - 0.146·y(t-3) + 0.531·ε(t-1) - 0.124·ε(t-2) + 0.338·ε(t-3) + ε(t),102.39026081762032,99.61326033831483,102.46857832513662,101.68584100119337
Burkina Faso,3.9896,y(t) =  0.325·y(t-1) - 0.070·y(t-2) - 1.832·ε(t-1) + 0.970·ε(t-2) + ε(t),122.57273025584512,123.78705634721956,124.76053895596691,125.72113372013789
Burundi,9.9998,y(t) = - 0.470·y(t-1) + 0.054·ε(t-1) + ε(t),149.8011657173411,148.9020286743104,149.32504140147188,149.1260286161267
Cabo Verde,7.6015,y(t) =  0.228·y(t-1) - 0.094·ε(t-1) + ε(t),71.25338286524496,71.1423873499276,71.11706969557339,71.1112948350291
Cambodia,4.6243,y(t) =  0.029·y(t-1) + 0.157·y(t-2) - 1.126·ε(t-1) + 0.233·ε(t-2) + ε(t),125.67011742333214,129.74486039200076,132.87118431414433,136.33105848268147
Cameroon,2.8743,y(t) = - 0.093·y(t-1) - 0.701·ε(t-1) + ε(t),109.7212228143599,110.97108194002551,112.22853963832813,113.48528770427451
Canada,6.2293,y(t) =  0.093·y(t-1) - 0.383·ε(t-1) + ε(t),107.7196392505255,107.73263969052289,107.73385003388616,107.73396271707668
Central African Republic,5.3421,y(t) =  0.022·y(t-1) - 0.910·ε(t-1) + ε(t),155.7296820892006,160.17886834240727,164.628699559121,169.07854487479125
Chad,4.7963,y(t) = - 1.656·y(t-1) - 0.691·y(t-2) + 0.170·ε(t-1) - 0.830·ε(t-2) + ε(t),136.8579770462754,143.06638832824981,144.4421641607997,151.6036284138307
Chile,4.1778,y(t) = - 0.763·y(t-1) - 1.051·y(t-2) - 0.729·y(t-3) - 0.231·y(t-4) - 0.286·ε(t-1) + 0.371·ε(t-2) - 0.116·ε(t-3) - 0.635·ε(t-4) + ε(t),108.37916942375857,110.12231729235799,110.24300752567633,111.24048987645465
China,1.8182,y(t) = - 0.291·y(t-1) - 0.833·y(t-2) + 0.164·y(t-3) - 0.450·ε(t-1) + 0.689·ε(t-2) - 0.784·ε(t-3) + ε(t),117.77359280576248,120.24140213519648,122.0792556802392,124.58615911036817
"China, Hong Kong SAR",29.1925,y(t) =  0.381·y(t-1) - 0.562·ε(t-1) + ε(t),161.4851229280078,162.16066749251345,162.41775417165704,162.51559162615783
"China, Macao SAR",12.5643,y(t) =  0.001·y(t-1) - 0.506·ε(t-1) + ε(t),76.10437892101702,76.1072928343488,76.1072971132145,76.1072971194977
"China, Taiwan Province of",7.5361,y(t) = - 1.184·y(t-1) - 1.100·y(t-2) - 0.094·y(t-3) + 0.232·ε(t-1) + 0.019·ε(t-2) - 0.873·ε(t-3) + ε(t),96.25291691329032,95.28682232451858,96.10339086444273,94.08991866891692
"China, mainland",1.7871,y(t) = - 0.301·y(t-1) - 0.844·y(t-2) + 0.158·y(t-3) - 0.438·ε(t-1) + 0.683·ε(t-2) - 0.779·ε(t-3) + ε(t),117.9125335606938,120.43247446219321,122.30576454259311,124.82096405364204
Colombia,3.8804,y(t) =  1.000·y(t-1) - 0.998·ε(t-1) + ε(t),114.10789130908235,115.45577482179752,116.80365053819064,118.15151845830678
Comoros,5.2299,y(t) =  0.501·y(t-1) - 0.202·ε(t-1) + ε(t),106.27343623487761,106.22000092702525,106.19320633955927,106.17977046829124
Congo,4.1518,y(t) = - 0.034·y(t-1) - 0.794·ε(t-1) + ε(t),106.5202377205017,107.49777366728769,108.47540058850771,109.45302444642617
Cook Islands,46.4372,y(t) =  0.208·y(t-1) - 0.232·ε(t-1) + ε(t),86.04035215167046,86.05081215223314,86.05298508046245,86.05343647786549
Costa Rica,3.4065,y(t) =  1.000·y(t-1) - 0.999·ε(t-1) + ε(t),102.37758678836335,103.6751678640156,104.97274322698192,106.27031287728745
Croatia,15.5652,y(t) =  0.091·y(t-1) - 0.550·ε(t-1) + ε(t),91.37973421723194,91.73154780789922,91.76353264086967,91.76644051471902
Cuba,10.4224,y(t) = 97.487 + 0.835·y(t-1) + 0.058·ε(t-1) + ε(t),77.01488060504728,80.39311308759814,83.21388979987411,85.56919876739384
Cyprus,12.8792,y(t) = - 0.073·y(t-1) - 0.086·ε(t-1) + ε(t),107.54589300731806,107.52644987649713,107.52787163384205,107.52776766941541
Czechia,23.2320,y(t) = - 0.917·y(t-1) - 0.369·y(t-2) + 0.589·ε(t-1) - 0.333·ε(t-2) + ε(t),97.16756785071358,98.26055991309619,97.72408954011988,97.81287103300703
Côte d'Ivoire,3.6598,y(t) =  0.995·y(t-1) - 0.930·ε(t-1) + ε(t),131.21977297129703,133.8361506160636,136.4392011663391,139.02899250660795
Democratic People's Republic of Korea,7.2012,y(t) =  0.571·y(t-1) - 0.686·y(t-2) - 0.433·ε(t-1) + 0.916·ε(t-2) + ε(t),91.24280755481006,92.02796626196626,92.24160045193241,91.8253836037689
Democratic Republic of the Congo,5.5396,y(t) =  0.873·y(t-1) - 0.703·ε(t-1) + ε(t),120.74684576413345,122.0629201885802,123.21237551566793,124.21630623905831
Denmark,8.7440,y(t) = - 0.354·y(t-1) - 0.045·ε(t-1) + ε(t),96.54909833117547,94.84760195869849,95.44960460164397,95.23661138697977
Djibouti,8.7720,y(t) =  0.486·y(t-1) - 0.605·ε(t-1) + ε(t),137.83028397447103,137.60182445743885,137.49070678615269,137.4366616011131
